compound	pvalue	fc
CPD_22166	0.218701399256335	1.54729129662522
CPD_40703	5.04119871666168e-20	0.452170614058859
CPD_36761	0.0458394295294847	2.26442993319823
CPD_40085	0.00274266884260139	0.719054691031187
CPD_36756	2.12881322978681e-08	3.49579397874852
CPD_35127	6.11542225840895e-31	0.425826671511628
CPD_42067	0.058939151267935	1.11113719965563
CPD_42011	0.0199981332959589	1.73906597479615
CPD_31530	6.37142814895548e-14	5.36766592791322
CPD_38150	2.78300896231782e-09	2.71276400367309
CPD_41374	2.33789411971598e-30	7.90900011097547
CPD_41432	2.27206445797676e-14	3.41529349229251
CPD_41527	1.50452255426156e-09	2.86122357174989
CPD_41393	0.000278888294218664	2.39704356846473
CPD_41370	1.08364744407757e-11	2.86659447753113
CPD_41436	2.71146719373076e-07	2.47316986496091
CPD_42072	1.97351434568942e-05	1.72567287784679
CPD_40727	0.159468708185484	1.62616580310881
CPD_32454	0.0132915890697115	1.84428522688502
CPD_42079	0.420561992203151	1.67528251233065
CPD_40716	0.0368769482820809	1.95707533519823
CPD_40674	3.72387901037182e-09	4.02355257975581
CPD_40697	5.84333866380405e-05	3.10783783783784
CPD_40688	0.000116585348281894	3.6068946535471
CPD_40728	0.238175376105465	1.94219583858008
CPD_35637	1.97483095955547e-07	7.14404761904762
CPD_41485	4.81544539383905e-14	4.01457431457431
CPD_41373	0.0193105093605302	1.41372764511939
CPD_41424	9.63561406722367e-15	3.0044030695685
CPD_41518	0.257966342444999	1.80038578120694
CPD_39994	6.74902962781889e-06	4.05447447447447
CPD_39995	1.02569720453882e-11	3.89650793650794
CPD_40068	3.38207268199641e-11	2.73026124818578
CPD_40061	9.26630403945292e-16	3.07732851441909
CPD_42084	7.09162701579367e-06	2.41195856873823
CPD_41912	0.000590473112837572	1.69450038729667
CPD_41899	0.000682455950084823	2.02012166588676
CPD_40693	0.000170490335970213	1.96468100982465
CPD_40023	9.96104653627134e-05	3.38605551969012
CPD_40685	2.03726411647223e-08	6.25588899645047
CPD_40046	0.0347732119333752	2.018578247968
CPD_40071	0.0204175857469493	1.02504154489714
CPD_40057	0.422759784309049	1.29858618416233
CPD_40008	3.74237706246091e-06	0.805911230325421
CPD_40058	0.001563752966855	3.89041227229147
CPD_40067	0.207612924704757	2.95185375901133
CPD_40012	0.0682206530909636	1.9479747073186
CPD_40079	0.00376139607097273	3.05663487578005
CPD_40073	2.70083186475487e-06	3.84518262437998
CPD_40049	0.452522151824982	1.80850109347838
CPD_40010	3.41230389408381e-06	2.52769466540174
CPD_40028	0.0737003449856322	1.55883097165992
CPD_40052	0.0017284629367321	2.05143945808637
CPD_40021	8.30711214771266e-06	2.74143302180685
CPD_40045	0.000200263633749117	2.51066210346189
CPD_40077	3.16672336495358e-11	2.00573888091822
CPD_40026	0.0063055299749397	2.12771595124536
CPD_40048	1.36247272509653e-09	4.18010854474315
CPD_40034	0.395589211030818	1.18862853783489
CPD_40030	0.0165855081581041	1.94904761904762
CPD_40020	0.000138726420160491	2.5148753894081
CPD_41943	0.042849871679399	1.28752308098127
CPD_42089	4.12393811217759e-17	4.70352397458117
CPD_40192	1.98620323658844e-13	4.27469462344907
CPD_40016	5.15507909905738e-25	4.41828771112405
CPD_40066	4.77744283322276e-13	4.25570053204966
CPD_40054	2.95839182533862e-10	2.71579251553244
CPD_40051	1.95375643211484e-06	3.09081220978914
CPD_42068	0.0452973370553081	1.81818181818182
CPD_40080	9.8605340323803e-08	2.59881678683675
CPD_40018	1.00836293956884e-11	2.3861752777288
CPD_40031	3.91338092956041e-13	3.93128844987436
CPD_40661	0.000229724770912183	2.16823800544731
CPD_41375	1.91950097108191e-06	1.37567421790723
CPD_40667	0.00266787982497746	2.02819584682797
CPD_41464	1.1613082943095e-05	1.81521739130435
CPD_41492	2.69479506536233e-11	2.37799286805909
CPD_40664	0.121260910358679	1.8055013655872
CPD_40656	0.985168523759026	1.66321442270809
CPD_40650	0.598076898246678	1.38172568968891
CPD_41384	0.128129176778686	1.12960357527104
CPD_40050	0.0936372558732056	2.09654853824325
CPD_40033	0.00061964679802885	1.9921568627451
CPD_40022	0.0019791177745646	1.10158675405312
CPD_40193	0.189327344135136	1.24877548695751
CPD_42058	0.0760190146420698	1.5933996192088
CPD_40475	0.000386686232510682	0.880724860127742
CPD_40680	0.00266875262154995	0.831221572449643
CPD_41392	2.54001859965602e-11	2.71269177126918
CPD_40649	4.46481910309641e-06	3.41780016792611
CPD_40717	1.96682338304058e-05	2.48553647574046
CPD_40686	0.000368308772066979	1.90688836104513
CPD_41441	0.92254876109054	1.46226705683043
CPD_41458	0.0174197392359264	1.80511527377522
CPD_41419	1.25268133769441e-16	3.76571983491139
CPD_41459	3.20212343356514e-11	2.0280025898349
CPD_41487	0.583941453633475	1.2301109774034
CPD_41377	0.117022483998749	1.53236529041288
CPD_41401	0.000981349420694385	1.56091258121678
CPD_15747	4.07814636005083e-18	0.261617270398829
CPD_32393	0.493807047652657	0.99556272690601
CPD_18369	0.135568947309709	0.949741867263793
CPD_34456	4.46336567222749e-12	0.520679954510086
CPD_1778	1.53109253156026e-08	2.7118459697596
CPD_36738	2.59420481746158e-27	4.63897949673812
CPD_2730	3.12960970829708e-08	4.17567335735118
CPD_33422	2.35812766613324e-09	0.737995956532727
CPD_35211	1.33064059746794e-14	4.91867124856816
CPD_40707	5.81237697301829e-07	1.56269325912183
CPD_15095	0.168547566529364	0.665672087125168
CPD_15107	1.68700867501073e-15	1.99619031493397
CPD_33477	0.225540883210428	0.891874747707745
CPD_32377	7.02621440702405e-30	2.47022759721172
CPD_15821	0.0471457001890663	0.808048433048433
CPD_577	2.83576775898611e-24	4.2733572476765
CPD_12055	0.150361276573893	1.50300661455201
CPD_39795	0.00264570396644001	2.6626586506346
CPD_15804	9.14714942877132e-43	16.7933299646286
CPD_15335	0.000376727725951851	0.25970131538526
CPD_584	2.40020206956996e-05	2.09180468303826
CPD_1469	2.64745214641008e-34	8.46045548654244
CPD_15053	2.46765327126505e-10	3.44713246489596
CPD_15699	1.15200048681777e-05	1.46615570099897
CPD_15877	2.39023571508791e-41	20.3498596819457
CPD_35163	8.5103236456631e-19	4.15671962215543
CPD_35170	9.37952339819083e-15	1.60554505356018
CPD_20675	0.959099243166142	0.979074417940294
CPD_15667	1.15039424883716e-08	0.588555858310627
CPD_1572	0.00292105913885522	0.854510604093242
CPD_31260	1.55186358086562e-39	9.34148446490219
CPD_15561	1.49331443852421e-38	8.83852419741255
CPD_20488	2.37743138199718e-31	4.1786692060469
CPD_12021	5.28681596459854e-38	6.88727984344423
CPD_15907	6.83486196787328e-32	9.44951729686243
CPD_36984	1.92298130055954e-10	3.00699504517633
CPD_35629	0.00156899832137051	0.598465178004731
CPD_40264	3.53076080531546e-06	0.584587813620072
CPD_35963	0.0600350895363001	1.36638690291162
CPD_597	5.04794486486078e-15	0.362899943010665
CPD_527	5.26187275751625e-09	1.48867206879444
CPD_15443	2.36176760400657e-24	0.301932729043374
CPD_15442	1.83052761884662e-16	3.12664744645799
CPD_38075	2.80283957276953e-31	0.365682451253482
CPD_15772	0.000636568729811866	1.15993902439024
CPD_35854	4.68672978119993e-20	0.571356479612434
CPD_35649	1.33846204842966e-05	1.53598740440846
CPD_587	3.63362867830359e-24	0.294486104984561
CPD_12080	0.947087093967056	1.19034033014062
CPD_35855	8.11808624224489e-10	1.6227497212044
CPD_37288	1.40393823145776e-18	2.15101239853715
CPD_41319	1.48828477888342e-14	0.543430195830701
CPD_15835	1.66435072260296e-06	0.21326409561967
CPD_35638	0.999398258623598	0.890993339125398
CPD_18344	7.70656929714746e-12	1.69508196721311
CPD_15910	3.43231996593885e-37	12.4122440451316
CPD_1564	2.78028216263586e-25	3.30327699491715
CPD_12025	6.54535887515652e-18	2.16435857036238
CPD_1437	3.34212458292719e-06	2.00383788762665
CPD_37058	0.00649293795391388	0.919402985074627
CPD_1643	9.30570514196079e-31	0.29155960318751
CPD_1303	6.30411706258569e-22	0.490556083148676
CPD_11438	1.55328087774424e-07	0.799536116633532
CPD_2078	0.00350538498540283	0.718878865979381
CPD_1105	2.40143251268678e-08	1.35157519931883
CPD_34035	2.82284474674133e-08	1.6777027027027
CPD_35718	0.368270837160461	1.09454443588487
CPD_18467	1.66165855293343e-12	0.459495965592009
CPD_32504	0.458482964719248	1.1042927903137
CPD_37478	8.27011268367853e-14	0.547293708657235
CPD_19323	9.54992046679814e-27	0.40160957490714
CPD_32489	2.07431592348352e-07	0.826775431861804
CPD_32492	0.00066423886239666	0.870260423694508
CPD_12035	9.80538434039886e-07	0.881743010893818
CPD_1642	7.8488805271957e-08	0.827551470125291
CPD_1645	1.67285422543005e-07	0.796174020364085
CPD_1365	0.0793734564353	0.952189607028536
CPD_32418	8.36913512463706e-13	0.712671877674445
CPD_1361	4.84779890411095e-06	1.28070442936647
CPD_1336	0.000432968030141996	1.14655107425556
CPD_33447	3.28075619014622e-08	1.42789835483124
CPD_1121	0.000708407699245359	1.16564280956258
CPD_33971	2.51099731051727e-16	1.64560573944236
CPD_1358	8.08986323732765e-11	1.3070835894284
CPD_1359	1.08042634151318e-06	1.52418745275888
CPD_33970	1.21427688977722e-07	1.59952662721893
CPD_33969	2.07567867819529e-06	2.00242314099652
CPD_33972	4.42662750663978e-23	2.26886035313002
CPD_1118	3.94553938753176e-15	2.40418970650787
CPD_33587	5.71566542613213e-36	5.00074105441457
CPD_17805	1.22864989914251e-26	2.62247086247086
CPD_1110	3.36842947549411e-38	0.300539736918652
CPD_1552	1.28591894608488e-25	4.62750716332378
CPD_32415	2.99759345465653e-21	3.59350529709811
CPD_32417	3.04247039506865e-22	2.65895535875655
CPD_32980	0.0535235823762795	1.13443465491924
CPD_41820	5.18232297658166e-18	3.79798529812143
CPD_34585	0.00693704466569564	3.1581201397498
CPD_22001	0.00500008354019721	0.816255402202705
CPD_22053	0.0155876473279681	0.772666926981648
CPD_39609	0.00495162556071527	0.741539520477228
CPD_35675	7.30445782585197e-09	1.82293868921776
CPD_37752	0.92369772589451	1.16332002281803
CPD_21134	7.26706320703094e-14	0.282257003814284
CPD_37253	1.3754559397139e-24	6.11918633356374
CPD_18362	0.0178741437247066	1.1588071103276
CPD_32388	0.991841000131649	0.933224589662555
CPD_35671	2.29190656471942e-07	1.4020786631343
CPD_31787	0.373116504728376	1.30183262064753
CPD_38768	4.18175515003019e-14	1.3642083466072
CPD_19761	0.0362728574033314	0.643977900552486
CPD_7746	0.0505780453836707	0.53463687150838
CPD_20476	0.000130475136499095	0.657283364422588
CPD_37372	6.88675345604422e-23	0.227502118097764
CPD_38400	5.83338230485024e-26	0.253907753907754
CPD_32452	0.00016370491079861	0.888444282769492
CPD_32412	2.07739952395771e-05	1.46835180055402
CPD_34406	7.48713982550933e-15	0.553763440860215
CPD_37059	9.86365013443024e-35	0.36221894756857
CPD_36747	3.81231080627899e-05	1.27632539798452
CPD_15500	0.00440199582490412	1.27498371806932
CPD_32654	0.125402156890039	0.983605527638191
CPD_32198	1.30188784478435e-26	2.78982558139535
CPD_32328	2.80256912309436e-06	1.50443708609272
CPD_33936	2.54664908328486e-13	2.15250984749015
CPD_34534	6.59527775745765e-19	2.67605633802817
CPD_33952	2.17618641407399e-09	1.82816406513954
CPD_22189	5.52352730305975e-08	1.4399145373681
CPD_34409	0.12577673771691	1.14545387235303
CPD_35160	6.95650764915483e-13	1.86124555017799
CPD_22842	0.00108735623030992	0.667031098153547
CPD_32620	0.000994347500998697	0.69199839163651
CPD_32599	0.0105448979335052	0.894653513579345
CPD_34396	9.58808658467751e-06	1.29775970538591
CPD_1497	9.10321836246452e-17	0.403824351900839
CPD_1600	0.00050317582611585	0.915806851011143
CPD_37455	1.77948048061249e-16	0.4150294039027
CPD_15122	0.380032014953045	1.00906383529716
CPD_15506	1.26706889463061e-14	0.663668275559456
CPD_15365	0.00839491532589983	0.852789525519958
CPD_15990	3.86405345727292e-09	1.58266476718902
CPD_34418	0.0313510786843364	1.81725926482748
CPD_19934	5.04890354211234e-27	0.323161019403417
CPD_37112	6.08113155617296e-06	0.363209524608032
CPD_1481	5.94803696818019e-23	0.397637795275591
CPD_32379	4.88727588004102e-29	0.235756482190968
CPD_542	0.765788324098158	0.943276074276235
CPD_38002	0.0658461386224263	0.868701328447091
CPD_35627	4.40923539718407e-28	0.147130461257421
CPD_35631	1.63712750177494e-43	0.0283569326133073
CPD_35688	2.87891534627558e-40	0.0272771259223418
CPD_34565	1.34742981069954e-34	0.0771828997781811
CPD_37419	5.1029522751381e-42	0.0439095736224603
CPD_34416	8.80594971934099e-34	0.0950305260070916
CPD_41220	1.10442778099052e-24	0.0273276904474002
CPD_35628	6.97407392442807e-43	0.051119593536046
CPD_35687	2.55299240748216e-41	0.0923133605338209
CPD_32635	1.6373756131219e-37	0.126385773269612
CPD_36593	3.22401375225458e-25	0.372822757111597
CPD_35186	4.06963450604457e-31	0.424495416792185
CPD_32815	0.000979131958747907	0.891774891774892
CPD_34875	0.00200257160731714	1.7127674258109
CPD_34258	0.872090161092027	1.10285038749507
CPD_35626	2.08327494278158e-13	0.377215858449147
CPD_35681	5.92415943563121e-06	1.72201531140079
CPD_37418	7.20240280420643e-17	0.274020144102003
CPD_33955	8.81780283742674e-17	0.34288707190037
CPD_35253	0.047661039524961	0.641712436987435
CPD_33230	3.58832956230497e-10	0.412355168062407
CPD_35819	6.7116138691191e-14	2.76394518432735
CPD_33957	4.27340206299595e-17	0.252096855457752
CPD_33961	3.79503193179115e-09	0.361456582633053
